index,info
1,"b'OH YEAHHH Lets, try an evening stream!\n.\nhttps://t.co/1A6fJc826Z\n.\n#TwitchStreamers #twitch #StreamerCommunity #eveningstream #holyhell #theworldisending https://t.co/lLmeHbFriq'"
2,"b""I know what the game is. But I'm not telling. Come find out yourself nerd.\n\nhttps://t.co/nNOf4HRuhn https://t.co/NSwUtwYIY9"""
3,"b""Freaky on a Fri- I mean Monday Night Movin' https://t.co/L66MhFGw25"""
4,b'Pull up fam!!! https://t.co/YvWRzjnW1V https://t.co/y1ren3G5PD'
5,b'Join the stream! @ Noah_Domangue on Twitch! https://t.co/McjHy111wh'
6,"b""IM GONNA BE HONNEST, THIS HOT TUB META IS BY FAR THE MOST PATHETIC THING WE'VE SEEN ON TWITCH IN FOREVER. WHAT A SAD REALITY. PLEASE GET THIS TRASH OFF THE FRONTPAGE"""
7,"b'@juninya_vt I can agree with banning kids that are too young to be on the platform, ( for twitch it\xe2\x80\x99s 13 and under) I have met some 14-17 year olds that are mature, so banning them off rip for being under 18 is a bit harsh even if they meet that one standard. But def ban the actual kids.'"
8,b'WE LIVEEE!!!\n\nMedia Talent:\n\xf0\x9f\x93\xb9: @QuantaScript \n\xf0\x9f\x8e\x99\xef\xb8\x8f: @ViewtifulCrow \n\xf0\x9f\x93\x8a: @PwnStarShibby \n\nhttps://t.co/shuESNivDP https://t.co/StJbuuFwPW'
9,"b""Didn't get to the hotness earlier but it's time for Darshik's UR Time of the Ice Giants Breach deck, followed by dredge? Or maybe I can be talked out of the dark side. Come harass me at https://t.co/N0Dbbcu14y https://t.co/9hH04PduUQ"""
10,b'[Ibuki] Sets - I miss the mix https://t.co/rrlICtgAR7'
11,b'\xf0\x9f\x8d\xa8VERY CHAOTIC INFOSHEET\xf0\x9f\x8d\xa8\n\nLinks:\n\xf0\x9f\x8d\xa8Twitch: https://t.co/o5HslEUk7u\n\xf0\x9f\x8d\xa8Youtube: https://t.co/jbHLiAwSIY\n\xf0\x9f\x8d\xa8Soundcloud: https://t.co/Kg0GA8AkmI https://t.co/z6sCnTZZPG'
12,b'Sup. Streamin https://t.co/1PlsiK5ynN https://t.co/aHXZrZYCx9'
13,"b'So I\xe2\x80\x99m drained and tired so I\xe2\x80\x99m probably not going to be around twitter for today and maybe tomorrow because exhaustion.\n\nI\xe2\x80\x99ll be hanging out around twitch or discord though, but probably lurking.'"
